[27/Apr/2020 18:15:02] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 45 18:15:02.300989', 'log_object': None}
[27/Apr/2020 18:15:06] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ennded at 89 18:15:06.536565', 'log_object': None}
[27/Apr/2020 18:15:06] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 91 18:15:06.541545', 'log_object': None}
[27/Apr/2020 18:15:06] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ended at 144 18:15:06.848341', 'log_object': None}
[27/Apr/2020 18:15:06] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 146 18:15:06.852318', 'log_object': None}
[27/Apr/2020 19:16:21] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ended at 320 19:16:21.770952', 'log_object': None}
[27/Apr/2020 19:16:22] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'PDF started at 334 19:16:22.691030', 'log_object': None}
[28/Apr/2020 11:19:17] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 45 11:19:17.163610', 'log_object': None}
[28/Apr/2020 15:24:49] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ennded at 89 15:24:49.210370', 'log_object': None}
[28/Apr/2020 15:24:50] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 91 15:24:50.513067', 'log_object': None}
[28/Apr/2020 17:09:54] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 45 17:09:54.196602', 'log_object': None}
[28/Apr/2020 18:00:09] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 45 18:00:09.161091', 'log_object': None}
[28/Apr/2020 18:00:11] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ennded at 89 18:00:11.228324', 'log_object': None}
[28/Apr/2020 18:00:11] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 91 18:00:11.229321', 'log_object': None}
[28/Apr/2020 18:00:18] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ended at 144 18:00:18.776469', 'log_object': None}
[28/Apr/2020 18:00:18] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 146 18:00:18.778509', 'log_object': None}
[28/Apr/2020 18:00:36] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'ended at 320 18:00:36.319115', 'log_object': None}
[28/Apr/2020 18:00:36] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'PDF started at 334 18:00:36.784949', 'log_object': None}
[28/Apr/2020 20:36:30] DEBUG [debug_log:27] {'log_class': <class 'KAROAPP.api.invoice_poe.InvoicePOE'>, 'log_message': 'started at 45 20:36:30.905598', 'log_object': None}
